"Four Character ID","Site Name","Organisation","Reg 13/Auspos Certificate","Marker Number","Site Photo","Status","Last Updated","State","Country","Receiver Type","Receiver Serial","Receiver Firmware","Satellite Systems","Antenna Type","Antenna Serial","Marker Up to ARP","GDA2020 X (m)","GDA2020 Y (m)","GDA2020 Z (m)","GDA2020 Latitude(DD)","GDA2020 Longitude(DD)","GDA2020 Ellipsoid Height (m)","GDA2020 Projection","GDA2020 Easting (m)","GDA2020 Northing (m)","GDA2020 Geoid","AHD GDA2020 Derived (m)","GDA94 X (m)","GDA94 Y (m)","GDA94 Z (m)","GDA94 Latitude(DD)","GDA94 Longitude(DD)","GDA94 Ellipsoid Height (m)","GDA94 Projection","GDA94 Easting (m)","GDA94 Northing (m)","GDA94 Geoid","AHD GDA94 Derived (m)"
"8PRP","Pingrup","Aptella Pty Ltd","https://metadata.alldayrtk.com.au/auspos/8PRP.pdf","","","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TPS MR-2","1392-11873","5.4+2105281211","GPS+GLO+GAL+BDS+QZSS","TPSPG_F1        NONE","568-20214","0.000","-2558099.2730","4655363.7490","-3519154.3370","-33.70204241","118.78857612","279.108","50","665756.011","6269444.338","AusGeoid2020","307.561","-2558098.0590","4655363.5410","-3519155.6290","-33.70205594","118.78856573","279.187","50","665755.022","6269442.854","AusGeoid09","307.549"
"8PLP","Perillup","Aptella Pty Ltd","https://metadata.alldayrtk.com.au/auspos/8PLP.pdf","","","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TPS MR-2","1392-11885","5.4+2105281211","GPS+GLO+GAL+BDS+QZSS","TPSPG_F1        NONE","568-19422","0.000","-2411736.7960","4670480.1960","-3600873.8880","-34.59250927","117.31086983","227.645","50","528507.347","6172100.685","AusGeoid2020","257.962","-2411735.5660","4670479.9490","-3600875.1610","-34.59252273","117.31085915","227.722","50","528506.363","6172099.196","AusGeoid09","257.966"
"8NRG","Narrogin","Aptella Pty Ltd","https://metadata.alldayrtk.com.au/auspos/8NRG.pdf","","https://metadata.alldayrtk.com.au/photos/8NRG_east.jpg","online","2025-08-07T07:01:45.923369+00:00","","Australia","TPS MR-2","1392-11884","5.4+2105281211","GPS+GLO+GAL+BDS+QZSS","TPSPG_F1        NONE","568-20213","0.000","-2448028.1610","4765663.4840","-3449684.3230","-32.95209705","117.18867943","335.402","50","517635.177","6354007.767","AusGeoid2020","361.894","-2448026.9400","4765663.2720","-3449685.6180","-32.95211051","117.18866884","335.480","50","517634.185","6354006.277","AusGeoid09","361.907"
"8MOO","Moora","Aptella Pty Ltd","https://metadata.alldayrtk.com.au/auspos/8MOO.pdf","","https://metadata.alldayrtk.com.au/photos/8MOO.jpg","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TPS MR-2","1392-11179","5.6+2406251100","GPS+GLO+QZSS+SBAS","TPSG5_A1        NONE","1327-11003","0.000","-2408665.6600","4936454.1030","-3231464.5390","-30.63740494","116.00933912","184.618","50","405067.264","6610163.318","AusGeoid2020","213.204","-2408664.4460","4936453.9290","-3231465.8590","-30.63741835","116.00932853","184.698","50","405066.263","6610161.823","AusGeoid09","213.244"
"8MRE","Marchagee","Aptella Pty Ltd","https://metadata.alldayrtk.com.au/auspos/8MRE.pdf","","","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TPS MR-2","1392-11335","5.2.6 OEM May,08,2020","GPS+GLO+GAL+BDS+QZSS","TPSPG_F1        NONE","568-16136","0.000","-2429817.7180","4962727.3510","-3175517.0730","-30.05198991","116.08698850","306.601","50","411986.220","6675102.526","AusGeoid2020","333.077","-2429816.5080","4962727.1910","-3175518.4000","-30.05200332","116.08697797","306.681","50","411985.216","6675101.031","AusGeoid09","333.065"
"8KAT","Katanning","Aptella Pty Ltd","https://metadata.alldayrtk.com.au/reg13/8KAT.pdf","AUM000772","https://metadata.alldayrtk.com.au/photos/8KAT.jpg","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TPS NET-G5","1294-13395","5.6+2406251100","GPS+GLO+GAL+BDS+QZSS","TPSG5_A1        NONE","1327-11229","0.000","-2459034.0720","4709261.6780","-3518091.7870","-33.69044270","117.57220244","293.421","50","553032.903","6272019.361","AusGeoid2020","320.415","-2459032.8490","4709261.4550","-3518093.0740","-33.69045617","117.57219187","293.499","50","553031.915","6272017.873","AusGeoid09","320.412"
"8GRD","Geraldton","Aptella Pty Ltd","https://metadata.alldayrtk.com.au/reg13/8GRD.pdf","AUM000771","https://metadata.alldayrtk.com.au/photos/8GRD.jpg","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TPS NET-G5","1294-13391","5.6+2406251100","GPS+GLO+GAL+BDS+QZSS","TPSG5_A1        NONE","1327-11207","0.000","-2331978.2010","5087442.8960","-3049217.7360","-28.74569553","114.62573833","-3.386","50","268147.406","6817877.486","AusGeoid2020","21.021","-2331976.9910","5087442.7450","-3049219.0710","-28.74570886","114.62572770","-3.306","50","268146.397","6817875.988","AusGeoid09","21.000"
"8NBG","Nyabing","Aptella Pty Ltd","https://metadata.alldayrtk.com.au/auspos/8NBG.pdf","","https://metadata.alldayrtk.com.au/photos/8NBG.jpg","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TPS MR-2","1392-11391","5.2.6 OEM May,08,2020","GPS+GLO+GAL+BDS+QZSS","TPSPG_F1        NONE","568-16427","0.000","-2519719.8030","4684470.7470","-3508355.6200","-33.58483157","118.27526700","323.824","50","618341.807","6283146.921","AusGeoid2020","351.265","-2519718.5860","4684470.5350","-3508356.9120","-33.58500000","118.27500000","323.903","50","618340.817","6283145.436","AusGeoid09","351.300"
"NYBG","Nyabing","Geoscience Australia","https://metadata.alldayrtk.com.au/reg13/NYBG.pdf","AUM000551","","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TRIMBLE NETR5","4613K01042","Nav 48.01 / Boot 4.9","GPS+GLO","TRM57971.00     NONE","1441009249","0.000","-2509171.7270","4684498.9540","-3515816.0410","-33.66561706","118.17496645","321.911","50","608931.880","6274299.513","AusGeoid2020","349.331","-2509170.5090","4684498.7390","-3515817.3310","-33.66563056","118.17495597","321.989","50","608930.891","6274298.027","AusGeoid09","349.377"
"8KLN","Kulin","Aptella Pty Ltd","https://metadata.alldayrtk.com.au/reg13/8KLN.pdf","AUM000773","https://metadata.alldayrtk.com.au/photos/8KLN.jpg","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TPS NET-G5","1294-12123","5.5.2+2306270006","GPS+GLO+GAL+BDS+QZSS","TPSG5_A1        NONE","1327-11283","0.000","-2536277.7340","4738461.3210","-3423389.1340","-32.67027838","118.15806979","287.114","50","608585.755","6384672.645","AusGeoid2020","313.332","-2536276.5220","4738461.1280","-3423390.4380","-32.67029189","118.15805937","287.193","50","608584.762","6384671.158","AusGeoid09","313.318"
"8MR2","Merredin2","Aptella Pty Ltd","https://metadata.alldayrtk.com.au/reg13/8MR2.pdf","AUM000948","https://metadata.alldayrtk.com.au/photos/8MR2_west.jpg","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TPS NET-G5","1294-13610","5.6+2406251100","GPS+GLO+GAL+BDS+QZSS","TPSG5_A1        NONE","1327-11269","0.000","-2581079.4497","4793785.1657","-3311842.8154","-31.48302091","118.29900004","308.533","50","623385.785","6516134.670","AusGeoid2020","333.654","-2581078.2471","4793785.0020","-3311844.1356","-31.48303442","118.29898971","308.613","50","623384.786","6516133.183","AusGeoid09","333.695"
"8PIT","Pithara","Aptella Pty Ltd","https://metadata.alldayrtk.com.au/auspos/8PIT.pdf","","","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TPS MR-2","1392-11341","5.6+2406251100","GPS+GLO+GAL+BDS+QZSS","TPSPG_F1        NONE","568-16251","0.000","-2461071.2390","4923450.5690","-3212070.7039","-30.43381470","116.55896180","277.097","50","457648.909","6633060.307","AusGeoid2020","302.472","-2461070.0307","4923450.4066","-3212072.0288","-30.43382814","116.55895130","277.177","50","457647.907","6633058.814","AusGeoid09","302.513"
"CUND","Cunderdin","Geoscience Australia","https://metadata.alldayrtk.com.au/reg13/CUND.pdf","59991M001","","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TRIMBLE NETR5","4613K01047","Nav 4.00 / Boot 3.56","GPS+GLO","TRM55971.00     NONE","23534390","0.000","-2494302.0416","4823424.2599","-3335013.8240","-31.72852177","117.34450967","282.628","50","532636.382","6489603.376","AusGeoid2020","309.120","-2494300.8297","4823424.0783","-3335015.1364","-31.72853524","117.34449919","282.707","50","532635.385","6489601.886","AusGeoid09","309.166"
"DOWE","Dowerin","Geoscience Australia","https://metadata.alldayrtk.com.au/reg13/DOWE.pdf","AUM000491","","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TRIMBLE NETR5","4805K53323","4.03","GPS+GLO","TRM57971.00     NONE","1441043077","0.000","-2474797.3330","4863457.8020","-3291390.2110","-31.26717564","116.96951872","271.945","50","497098.217","6540787.280","AusGeoid2020","298.104","-2474796.1220","4863457.6260","-3291391.5280","-31.26718909","116.96950822","272.025","50","497097.218","6540785.789","AusGeoid09","298.084"
"8BWG","Bowgada","Aptella Pty Ltd","https://metadata.alldayrtk.com.au/auspos/8BWG.pdf","","","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TPS MR-2","1392-11521","5.2.7 OEM Sep,09,2020","GPS+GLO+GAL+BDS+QZSS","TPSPG_F1        NONE","568-18180","0.000","-2446872.5920","4996458.3428","-3109193.4415","-29.36335604","116.09198072","265.140","50","411868.131","6751414.103","AusGeoid2020","289.183","-2446871.3874","4996458.1988","-3109194.7774","-29.36336946","116.09197024","265.221","50","411867.125","6751412.609","AusGeoid09","289.198"
"LANN","Lancelin","Geoscience Australia","https://metadata.alldayrtk.com.au/reg13/LANN.pdf","AUM000494","","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TRIMBLE NETR5","4730K06554","Nav 4.03 / Boot 3.61","GPS+GLO","TRM55971.00     NONE","1440921040","0.000","-2341379.5620","4942822.6410","-3270301.7200","-31.04645052","115.34657851","-9.890","50","342220.600","6564075.858","AusGeoid2020","21.534","-2341378.3400","4942822.4490","-3270303.0300","-31.04646388","115.34656781","-9.812","50","342219.601","6564074.362","AusGeoid09","21.596"
"PINY","Pingelly","Geoscience Australia","https://metadata.alldayrtk.com.au/reg13/PINY.pdf","AUM000496","","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TRIMBLE NETR5","4730K06553","4.22","GPS+GLO","TRM57971.00     NONE","1441040387","0.000","-2443167.3840","4799194.6300","-3406686.7550","-32.49120139","116.97967158","347.276","50","498090.179","6405116.041","AusGeoid2020","373.925","-2443166.1650","4799194.4270","-3406688.0550","-32.49121484","116.97966099","347.355","50","498089.185","6405114.550","AusGeoid09","373.904"
"8MAD","Mount Adams","Aptella Pty Ltd","https://metadata.alldayrtk.com.au/auspos/8MAD.pdf","","","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TPS MR-2","1392-11520","5.2.7 OEM Sep,09,2020","GPS+GLO+GAL+BDS+QZSS","TPSPG_F1        NONE","568-18174","0.000","-2374008.2670","5033861.1350","-3105203.5550","-29.32248828","115.24893130","181.321","50","329964.237","6755011.878","AusGeoid2020","208.697","-2374007.0570","5033860.9800","-3105204.8860","-29.32250165","115.24892070","181.401","50","329963.231","6755010.381","AusGeoid09","208.720"
"ALBY","Albany","Geoscience Australia","https://ga-gnss-products-v1.s3.amazonaws.com/public/reg13/ALBY00AUS_20240523.pdf","50191M001","https://metadata.gnss.ga.gov.au/api/associatedDocuments/ALBY-ant-270-20240313-dd3a91.jpg","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","SEPT POLARX5","3078794","5.5.0","GPS+GLO+GAL+BDS+QZSS+IRNSS","TWIVC6050       NONE","VC6050202306060011","0.025","-2441715.0046","4629128.6217","-3633362.7840","-34.95022126","117.81019109","36.630","50","573976.877","6132177.546","AusGeoid2020","68.577","-2441713.7758","4629128.3726","-3633364.0538","-34.95023474","117.81018046","36.707","50","573975.895","6132176.059","AusGeoid09","68.573"
"8NED","North Eradu","Aptella Pty Ltd","https://metadata.alldayrtk.com.au/auspos/8NED.pdf","","","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TPS MR-2","1392-11509","5.2.7 OEM Sep,09,2020","GPS+GLO+GAL+BDS+QZSS","TPSPG_F1        NONE","8NED","0.000","-2385703.1800","5071822.8000","-3034256.4510","-28.59063239","115.19153230","242.466","50","323149.807","6836031.504","AusGeoid2020","265.825","-2385701.9750","5071822.6610","-3034257.7900","-28.59064576","115.19152180","242.547","50","323148.799","6836030.007","AusGeoid09","265.805"
"8BLT","Bolgart","Aptella Pty Ltd","https://metadata.alldayrtk.com.au/auspos/8BLT.pdf","","","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TPS MR-2","1392-11877","5.4+2105281211","GPS+GLO+GAL+BDS+QZSS","TPSPG_F1        NONE","568-20204","0.000","-2433649.4350","4883871.7920","-3291742.0170","-31.27117036","116.48722745","220.350","50","451186.392","6540231.561","AusGeoid2020","247.152","-2433648.2200","4883871.6100","-3291743.3310","-31.27118378","116.48721688","220.429","50","451185.393","6540230.068","AusGeoid09","247.202"
"8MIN","Tamarla Park","Aptella Pty Ltd","https://metadata.alldayrtk.com.au/auspos/8MIN.pdf","AUM000846","https://metadata.alldayrtk.com.au/photos/8MIN.jpg","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TPS NET-G5","1294-10587","5.6+2406251100","GPS+GLO+GAL+BDS+QZSS","TPSCR.G5        TPSH","762-12359","0.000","-2357603.1050","4892853.2890","-3332822.8910","-31.70676324","115.72691873","19.024","50","379365.059","6491362.184","AusGeoid2020","51.963","-2357601.8810","4892853.0870","-3332824.1950","-31.70677663","115.72690803","19.103","50","379364.063","6491360.687","AusGeoid09","52.003"
"8BB2","Bullsbrook","Aptella Pty Ltd","https://metadata.alldayrtk.com.au/auspos/8BB2.pdf","","https://metadata.alldayrtk.com.au/photos/8BB2.jpg","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","","","","","TPSG5_A1        NONE","1327-10435","0.000","-2383305.1190","4881454.2370","-3331242.8940","-31.69008842","116.02332842","5.935","50","407437.178","6493500.365","AusGeoid2020","36.755","-2383303.8970","4881454.0390","-3331244.1990","-31.69010182","116.02331775","6.014","50","407436.181","6493498.871","AusGeoid09","36.822"
"8DLG","Dongolocking","Aptella Pty Ltd","https://metadata.alldayrtk.com.au/auspos/8DLG.pdf","","","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TPS MR-2","1392-11382","5.2.6 OEM May,08,2020","GPS+GLO+SBAS","TPSPG_S1        NONE","568-15622","0.000","-2494602.2630","4729410.1640","-3465974.2640","-33.12758626","117.81011530","287.281","50","575569.507","6334276.707","AusGeoid2020","313.945","-2494601.0450","4729409.9570","-3465975.5600","-33.12759974","117.81010480","287.360","50","575568.516","6334275.219","AusGeoid09","313.935"
"8WHS","Wogan Hills","Aptella Pty Ltd","https://metadata.alldayrtk.com.au/reg13/8WHS.pdf","AUM000775","https://metadata.alldayrtk.com.au/photos/8WHS.jpg","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TPS NET-G5","1294-13612","5.6+2406251100","GPS+GLO+GAL+BDS+QZSS","TPSG5_A1        NONE","1327-11253","0.000","-2463437.5860","4892590.5010","-3256764.3270","-30.90257624","116.72542533","260.922","50","473760.779","6581162.694","AusGeoid2020","286.807","-2463436.3750","4892590.3300","-3256765.6470","-30.90258968","116.72541483","261.002","50","473759.779","6581161.202","AusGeoid09","286.835"
